---,RecipeName,Tier,RequiredIngredients,ProgressSpeedPerSecond
Recipe_Toast,"NSLOCTEXT(""[042A7C250C4446D4BC596AF2DA68346B]"", ""A20D85543C2B4BB2A4CA42D81C210DAE"", ""토스트"")","Low","((TagName=""Item.Id.Bread""),(TagName=""Item.Id.Butter""))","5.000000"
Recipe_Guacamole,"NSLOCTEXT(""[B645C2E421AE4CDC89E4787EA4E2E0E8]"", ""2DCC634269A1436BB461404E5BE88267"", ""과카몰리"")","Low","((TagName=""Item.Id.Avocado""),(TagName=""Item.Id.Lime""))","5.000000"
Recipe_Caprese,"NSLOCTEXT(""[A1F2E021C7FA4325A39B07864DA47416]"", ""55F1F38A89B7471883D5F4DB2EC1729F"", ""카프레제 샐러드"")","Low","((TagName=""Item.Id.Tomato""),(TagName=""Item.Id.Mozzarella""))","5.000000"
Recipe_Onigiri,"NSLOCTEXT(""[D02D7E2FE5E348838CF39C0567E0CFD7]"", ""4FA6E484C59E433E8064FAAC6FFD3325"", ""오니기리"")","Low","((TagName=""Item.Id.Rice""),(TagName=""Item.Id.Seaweed""))","5.000000"
Recipe_MashedPotato,"NSLOCTEXT(""[5CB7D5C08C3041D4B5985A817DFF77C9]"", ""4579F163B9E84E33B4EA9EFA87229E40"", ""매시드포테이토"")","Low","((TagName=""Item.Id.Potato""),(TagName=""Item.Id.Milk""))","5.000000"
Recipe_FriedRice,"NSLOCTEXT(""[58FBEB4A82B94CF09E3C6F188B09B012]"", ""1DB501CE34764CA39CBB2A2FE0A3645D"", ""볶음밥"")","Low","((TagName=""Item.Id.Rice""),(TagName=""Item.Id.Egg""))","5.000000"
Recipe_Pasta,"NSLOCTEXT(""[8EC68BD8527545FAB5C78B4C984DE2BA]"", ""B7A673DDA73E491F9C2E92542FAB94B5"", ""토마토 파스타"")","Medium","((TagName=""Item.Id.Pasta""),(TagName=""Item.Id.Tomato""),(TagName=""Item.Id.Garlic""))","4.000000"
Recipe_Curry,"NSLOCTEXT(""[A867BAD40201454584601132EC182794]"", ""7EDDFE3EF432434C91901B35BD368B98"", ""카레"")","Medium","((TagName=""Item.Id.Rice""),(TagName=""Item.Id.Curry_Powder""),(TagName=""Item.Id.Chicken""))","4.000000"
Recipe_Tacos,"NSLOCTEXT(""[5FE32C4BA51E43C79B276A2472C62328]"", ""BAE916091C284537AFCB0220AA4AF04E"", ""타코"")","Medium","((TagName=""Item.Id.Tortilla""),(TagName=""Item.Id.Beef""),(TagName=""Item.Id.Cheese""))","4.000000"
Recipe_PadThai,"NSLOCTEXT(""[58F7CD80163648C0AE5917E95D2CF8E3]"", ""101F79A33F76487198F361464A7C20D9"", ""팟타이"")","Medium","((TagName=""Item.Id.Noodle""),(TagName=""Item.Id.Shrimp""),(TagName=""Item.Id.PeanutSauce""))","4.000000"
Recipe_Ramen,"NSLOCTEXT(""[7D3B6F33AD194C7CAE0CE0233BC9B2BE]"", ""49F57201690B444F946EDD1825F49FF5"", ""라멘"")","Medium","((TagName=""Item.Id.Noodle""),(TagName=""Item.Id.Pork""),(TagName=""Item.Id.Egg""))","4.000000"
Recipe_Paella,"NSLOCTEXT(""[9F8E1FAD0C2B4876AD82C9A6B0141134]"", ""944503E4E648491CB8326DA0A6B0C301"", ""빠에야"")","Medium","((TagName=""Item.Id.Rice""),(TagName=""Item.Id.Shrimp""),(TagName=""Item.Id.Saffron""))","4.000000"
Recipe_BeefStew,"NSLOCTEXT(""[A6782AFEAE70450B8B13B915231AEDB9]"", ""D8ED358817A04D1CA6B727EC50A8A659"", ""비프스튜"")","Medium","((TagName=""Item.Id.Beef""),(TagName=""Item.Id.Potato""),(TagName=""Item.Id.Carrot""))","4.000000"
Recipe_Sushi,"NSLOCTEXT(""[13CEC30B3B4B4F2BA38495FB4CC32B97]"", ""277E90C2FC2643B290BBD56414A3887C"", ""스시 오마카세"")","High","((TagName=""Item.Id.Rice""),(TagName=""Item.Id.Tuna""),(TagName=""Item.Id.Salmon""),(TagName=""Item.Id.Seaweed""))","3.000000"
Recipe_Wellington,"NSLOCTEXT(""[6BCDE17BAE074D9891268161EBBF94FB]"", ""40F344AB42AC463E8E7D7D603A4FF5D4"", ""비프 웰링턴"")","High","((TagName=""Item.Id.Beef""),(TagName=""Item.Id.Mushroom""),(TagName=""Item.Id.PuffPastry""),(TagName=""Item.Id.Foie_Gras""))","3.000000"
Recipe_Bouillabaisse,"NSLOCTEXT(""[D9383A61E8C542749D63C38F71F47B23]"", ""5168D814E3F84195B64D078CC3714C5E"", ""부야베스"")","High","((TagName=""Item.Id.Fish""),(TagName=""Item.Id.Shrimp""),(TagName=""Item.Id.Mussel""),(TagName=""Item.Id.Saffron""))","3.000000"
Recipe_PekingDuck,"NSLOCTEXT(""[DD7FFDF5BA2047EDB4576F6BDC47A146]"", ""186F3E5BA1764C5FB4DE1824ADFFD2E3"", ""베이징덕"")","High","((TagName=""Item.Id.Duck""),(TagName=""Item.Id.Pancake""),(TagName=""Item.Id.ScallionSauce""),(TagName=""Item.Id.Cucumber""))","3.000000"
Recipe_Truffle_Risotto,"NSLOCTEXT(""[209BA1C191E44625AFD0BB0B2AAA9D38]"", ""33710F0006784EBCB7ABB9EB7A4E0057"", ""트러플 리조또"")","High","((TagName=""Item.Id.Rice""),(TagName=""Item.Id.Truffle""),(TagName=""Item.Id.Parmesan""),(TagName=""Item.Id.WhiteWine""))","3.000000"
